word	tag	type	chinese_definition	explanation	uk	us
mouth	noun_body	Noun (名词)	嘴	身体部位名词。	/maʊθ/	/maʊθ/
muscle	noun_body	Noun (名词)	肌肉	身体组织名词。	/ˈmʌs(ə)l/	/ˈmʌs(ə)l/
muscles	noun_body	Noun (名词)	肌肉	muscle 的复数。	/ˈmʌs(ə)lz/	/ˈmʌs(ə)lz/
my	pronoun_possessive	Pronoun (代词)	我的	形容词性物主代词。	/maɪ/	/maɪ/
nails	noun_body	Noun (名词)	指甲	nail 的复数。	/neɪlz/	/neɪlz/
navel	noun_body	Noun (名词)	肚脐	身体部位名词。	/ˈneɪv(ə)l/	/ˈneɪv(ə)l/
neck	noun_body	Noun (名词)	脖子	身体部位名词。	/nek/	/nek/
nose	noun_body	Noun (名词)	鼻子	身体部位名词。	/nəʊz/	/noʊz/
on	prep	Preposition (介词)	在…上	介词。	/ɒn/	/ɑːn/
pain	noun	Noun (名词)	疼痛	名词。	/peɪn/	/peɪn/
painted	verb_past	Verb (动词)	涂	paint 的过去式。	/ˈpeɪntɪd/	/ˈpeɪntɪd/
palm	noun_body	Noun (名词)	手掌	身体部位名词。	/pɑːm/	/pɑːm/
pressed	verb_past	Verb (动词)	按压	press 的过去式。	/prest/	/prest/
put	verb_past	Verb (动词)	放	put 的过去式（同形）。	/pʊt/	/pʊt/
raised	verb_past	Verb (动词)	扬起	raise 的过去式。	/reɪzd/	/reɪzd/
ran	verb_past	Verb (动词)	流；跑	run 的过去式。	/ræn/	/ræn/
red	adj	Adjective (形容词)	红的	形容词。	/red/	/red/
rested	verb_past	Verb (动词)	搁；休息	rest 的过去式。	/ˈrestɪd/	/ˈrestɪd/
right	adj	Adjective (形容词)	右边的	形容词。	/raɪt/	/raɪt/
rubbed	verb_past	Verb (动词)	摩擦	rub 的过去式。	/rʌbd/	/rʌbd/
scarf	noun	Noun (名词)	围巾	名词。	/skɑːf/	/skɑːrf/
shin	noun_body	Noun (名词)	小腿前部	身体部位名词。	/ʃɪn/	/ʃɪn/
shoe	noun	Noun (名词)	鞋	名词。	/ʃuː/	/ʃuː/
shoulders	noun_body	Noun (名词)	肩膀	shoulder 的复数。	/ˈʃəʊldəz/	/ˈʃoʊldərz/
shrugged	verb_past	Verb (动词)	耸肩	shrug 的过去式。	/ʃrʌɡd/	/ʃrʌɡd/
soup	noun	Noun (名词)	汤	名词。	/suːp/	/suːp/
spider	noun	Noun (名词)	蜘蛛	名词。	/ˈspaɪdə(r)/	/ˈspaɪdər/
stomach	noun_body	Noun (名词)	胃	器官名词。	/ˈstʌmək/	/ˈstʌmək/
strong	adj	Adjective (形容词)	强壮的	形容词。	/strɒŋ/	/strɔːŋ/
stubbed	verb_past	Verb (动词)	踢到	stub 的过去式。	/stʌbd/	/stʌbd/
the	article	Article (冠词)	这/那	定冠词。	/ðə/	/ðə/
thigh	noun_body	Noun (名词)	大腿	身体部位名词。	/θaɪ/	/θaɪ/
thumbs	noun_body	Noun (名词)	大拇指	thumb 的复数形式（固定搭配）。	/θʌmz/	/θʌmz/
tiny	adj	Adjective (形容词)	很小的	形容词。	/ˈtaɪni/	/ˈtaɪni/
toe	noun_body	Noun (名词)	脚趾	身体部位名词。	/təʊ/	/toʊ/
tongue	noun_body	Noun (名词)	舌头	身体部位名词。	/tʌŋ/	/tʌŋ/
tooth	noun_body	Noun (名词)	牙齿	身体部位名词。	/tuːθ/	/tuːθ/
twisted	verb_past	Verb (动词)	扭伤	twist 的过去式。	/ˈtwɪstɪd/	/ˈtwɪstɪd/
up	adv	Adverb (副词)	向上	与 thumbs 构成短语。	/ʌp/	/ʌp/
veins	noun_body	Noun (名词)	血管	vein 的复数。	/veɪnz/	/veɪnz/
waist	noun_body	Noun (名词)	腰部	身体部位名词。	/weɪst/	/weɪst/
watch	noun	Noun (名词)	手表	名词。	/wɒtʃ/	/wɑːtʃ/
wide	adj	Adjective (形容词)	宽的	形容词。	/waɪd/	/waɪd/
with	prep	Preposition (介词)	用；和	介词。	/wɪð/	/wɪð/
wore	verb_past	Verb (动词)	佩戴	wear 的过去式。	/wɔː(r)/	/wɔːr/
wrist	noun_body	Noun (名词)	手腕	身体部位名词。	/rɪst/	/rɪst/
your	pronoun_possessive	Pronoun (代词)	你的	形容词性物主代词。	/jɔː(r)/	/jʊr/
